           x            rho             ux             p
-4.99500E-01    1.00000E+00    7.50000E-01    1.00000E+00
-4.98500E-01    1.00000E+00    7.50000E-01    1.00000E+00
-4.97500E-01    1.00000E+00    7.50000E-01    1.00000E+00
-4.96500E-01    1.00000E+00    7.50000E-01    1.00000E+00
-4.95500E-01    1.00000E+00    7.50000E-01    1.00000E+00
-4.94500E-01    1.00000E+00    7.50000E-01    1.00000E+00
-4.93500E-01    1.00000E+00    7.50000E-01    1.00000E+00
-4.92500E-01    1.00000E+00    7.50000E-01    1.00000E+00
-4.91500E-01    1.00000E+00    7.50000E-01    1.00000E+00
-4.90500E-01    1.00000E+00    7.50000E-01    1.00000E+00
-4.89500E-01    1.00000E+00    7.50000E-01    1.00000E+00
-4.88500E-01    1.00000E+00    7.50000E-01    1.00000E+00
-4.87500E-01    1.00000E+00    7.50000E-01    1.00000E+00
-4.86500E-01    1.00000E+00    7.50000E-01    1.00000E+00
-4.85500E-01    1.00000E+00    7.50000E-01    1.00000E+00
-4.84500E-01    1.00000E+00    7.50000E-01    1.00000E+00
-4.83500E-01    1.00000E+00    7.50000E-01    1.00000E+00
-4.82500E-01    1.00000E+00    7.50000E-01    1.00000E+00
-4.81500E-01    1.00000E+00    7.50000E-01    1.00000E+00
-4.80500E-01    1.00000E+00    7.50000E-01    1.00000E+00
-4.79500E-01    1.00000E+00    7.50000E-01    1.00000E+00
-4.78500E-01    1.00000E+00    7.50000E-01    1.00000E+00
-4.77500E-01    1.00000E+00    7.50000E-01    1.00000E+00
-4.76500E-01    1.00000E+00    7.50000E-01    1.00000E+00
-4.75500E-01    1.00000E+00    7.50000E-01    1.00000E+00
-4.74500E-01    1.00000E+00    7.50000E-01    1.00000E+00
-4.73500E-01    1.00000E+00    7.50000E-01    1.00000E+00
-4.72500E-01    1.00000E+00    7.50000E-01    1.00000E+00
-4.71500E-01    1.00000E+00    7.50000E-01    1.00000E+00
-4.70500E-01    1.00000E+00    7.50000E-01    1.00000E+00
-4.69500E-01    1.00000E+00    7.50000E-01    1.00000E+00
-4.68500E-01    1.00000E+00    7.50000E-01    1.00000E+00
-4.67500E-01    1.00000E+00    7.50000E-01    1.00000E+00
-4.66500E-01    1.00000E+00    7.50000E-01    1.00000E+00
-4.65500E-01    1.00000E+00    7.50000E-01    1.00000E+00
-4.64500E-01    1.00000E+00    7.50000E-01    1.00000E+00
-4.63500E-01    1.00000E+00    7.50000E-01    1.00000E+00
-4.62500E-01    1.00000E+00    7.50000E-01    1.00000E+00
-4.61500E-01    1.00000E+00    7.50000E-01    1.00000E+00
-4.60500E-01    1.00000E+00    7.50000E-01    1.00000E+00
-4.59500E-01    1.00000E+00    7.50000E-01    1.00000E+00
-4.58500E-01    1.00000E+00    7.50000E-01    1.00000E+00
-4.57500E-01    1.00000E+00    7.50000E-01    1.00000E+00
-4.56500E-01    1.00000E+00    7.50000E-01    1.00000E+00
-4.55500E-01    1.00000E+00    7.50000E-01    1.00000E+00
-4.54500E-01    1.00000E+00    7.50000E-01    1.00000E+00
-4.53500E-01    1.00000E+00    7.50000E-01    1.00000E+00
-4.52500E-01    1.00000E+00    7.50000E-01    1.00000E+00
-4.51500E-01    1.00000E+00    7.50000E-01    1.00000E+00
-4.50500E-01    1.00000E+00    7.50000E-01    1.00000E+00
